lemma_beta,freq
*)eriboi/a,1
a)ni/hmi,1
a)ni/s1thmi,1
toi/nun,1
toco/ths,1
a)nia/zw,1
to/qi,1
a)nh/kes1tos,1
trei=s,1
turs1hno/s,1
tri/pous,1
turanniko/s,1
tumbeu/w,1
a)nas1tena/zw,1
a)nati/qhmi,1
tu/rannos,1
tu/ptw,1
tru/xw,1
troph/,1
troi/a,1
trofo/s,1
a)nau/dhtos,1
a)naxe/w,1
a)ne/romai,1
tri/tos,1
tri/s,1
w(/ra,1
*)atreu/s,1
a)noi/gnumi,1
yi/quros,1
yhfi/zw,1
a)la/omai,1
ye/gw,1
ya/maqos,1
a)mfi/dromos,1
a)mfi/puros,1
xw=ros,1
xrw/s,1
xrus1o/nwtos,1
*(/hlios,1
a)mfi/rutos,1
xrhs1th/rion,1
xrh=ma,1
xrh/|zw,1
xrh/s1imos,1
yhfopoio/s,1
yilo/s,1
xrew/n,1
yo/fos,1
a)lgi/wn,1
a)lh/ths,1
a)la/s1twr,1
̓a)po/llwn,1
zws1th/r,1
a)me/rimnos,1
zhthte/os,1
a)mei/bw,1
zhlo/w,1
zh=los,1
a)mei/nwn,1
zamenh/s,1
a)menhno/s,1
za/lh,1
a)mfh/khs,1
*(ellhni/s,1
a)mfi/s1thmi,1
*)aqh=nai,1
xai/th,1
xa/s1kw,1
*)/olumpos,1
w)|dh/,1
w)qe/w,1
w)mokrath/s,1
w)mo/s,1
w)mo/qumos,1
w)mo/frwn,1
w)ku/alos,1
w)felh/s1imos,1
a)nagkai=os,1
w)di/nw,1
*)agame/mnwn,1
*)alkmh/nh,1
a)naire/w,1
a)nagkai/h,1
xalkeu/w,1
xrai/nw,1
xalko/s1tomos,1
xra/w,1
xra/omai,1
a)na/cios,1
xoropoio/s,1
xoreu/w,1
xlwro/s,1
xiono/ktupos,1
xh=ros,1
xero/plhktos,1
xeiroda/iktos,1
xei/rios,1
*(ermh=s,1
xarmonh/,1
xara/,1
xalkoqw/rac,1
a)no/nhtos,1
tlhto/s,1
a)rxai=os,1
s1u/mmiktos,1
s1u/mfhmi,1
s1u/gkeimai,1
*fru/gios,1
s1tugno/s,1
a)poyu/xw,1
s1tuge/w,1
a)pri/c,1
s1trato/w,1
a)pwqe/w,1
a)pws1to/s,1
a)qume/w,1
s1trathgi/s,1
s1trathge/w,1
s1trath/gion,1
s1trateu/w,1
a)pos1tere/w,1
s1u/mpas,1
a)ra/omai,1
a)porri/ptw,1
s1ullamba/nw,1
s1ugkomi/zw,1
s1ugkera/nnumi,1
s1ugkatazeu/gnumi,1
s1ugkataktei/nw,1
s1ugkaqarmo/zw,1
s1ugka/mnw,1
s1uggnw/mh,1
s1u=rigc,1
a)popau/w,1
s1u/neunos,1
*foi=bos,1
